id,company,lastname,firstname,position,salary,department,gender,holiday_days,birth_date
1,TechCorp Hungary Kft.,Szabó,Péter,IT Támogató Spec.,557000.0,IT,Male,21,1998-03-24
2,Pannon Keréskedelem Kft.,Tóth,Zoltán,Kontroller,694000.0,Pénzügy,Male,16,1992-01-03
3,TechCorp Hungary Kft.,Molnár,Monika,HR Manager,681000.0,HR,Female,14,1991-06-08
4,Innovatív Megoldások Kft.,Varga,Boglárka,Rendszergazda,613000.0,IT,Female,6,1999-04-02
5,Innovatív Megoldások Kft.,Mészáros,István,Könyvelő,811000.0,Pénzügy,Male,19,1976-11-12
6,TechCorp Hungary Kft.,Nagy,Eszter,Logisztikai Koordinátor,1029000.0,Üzemeltetés,Other,9,2002-03-16
7,Pannon Keréskedelem Kft.,Takács,Katalin,Ügyfélszolgálati Munkatárs,689000.0,Ügyfélszolgálat,Female,24,1977-12-25
8,TechCorp Hungary Kft.,Takács,László,HR Generalista,833000.0,HR,Male,5,1981-08-10
9,Innovatív Megoldások Kft.,Balogh,Zoltán,HR Manager,1116000.0,HR,Male,5,1988-12-17
10,Global Logisztika Zrt.,Tóth,Balázs,SEO Specialista,1168000.0,Marketing,Male,10,2002-10-23
11,TechCorp Hungary Kft.,Varga,Zsuzsanna,HR Generalista,519000.0,HR,Female,6,1990-06-11
12,Innovatív Megoldások Kft.,Szabó,Dóra,HR Manager,728000.0,HR,Female,4,1976-01-24
13,Pannon Keréskedelem Kft.,Molnár,Petra,Értékesítési Igazgató,830000.0,Értékesítés,Female,7,1971-03-17
14,Pannon Keréskedelem Kft.,Szabó,Anna,Logisztikai Koordinátor,1108000.0,Üzemeltetés,Female,5,2000-07-13
15,Apex Software Nyrt.,Farkas,László,Kontroller,714000.0,Pénzügy,Male,17,1965-07-08
16,TechCorp Hungary Kft.,Molnár,András,Értékesítési Igazgató,616000.0,Értékesítés,Male,14,1965-02-23
17,Innovatív Megoldások Kft.,Mészáros,Réka,Tartalomgyártó,1120000.0,Marketing,Female,16,1992-04-26
18,Global Logisztika Zrt.,Lakatos,Monika,SEO Specialista,1006000.0,Marketing,Female,29,1965-01-10
19,Pannon Keréskedelem Kft.,Oláh,István,Team Leader,772000.0,Ügyfélszolgálat,Male,7,1967-08-08
20,Global Logisztika Zrt.,Lakatos,Anna,Könyvelő,1009000.0,Pénzügy,Female,24,1970-08-23
21,Global Logisztika Zrt.,Molnár,Máté,Logisztikai Koordinátor,672000.0,Üzemeltetés,Male,29,1989-03-11
22,Global Logisztika Zrt.,Németh,Anna,Account Manager,993000.0,Értékesítés,Other,14,1970-06-06
23,Global Logisztika Zrt.,Farkas,Máté,HR Generalista,691000.0,HR,Male,18,1974-11-18
24,TechCorp Hungary Kft.,Mészáros,Gábor,Könyvelő,796000.0,Pénzügy,Male,2,1988-01-24
25,Global Logisztika Zrt.,Szabó,Monika,Értékesítési Igazgató,1049000.0,Értékesítés,Female,18,1986-03-16
26,Global Logisztika Zrt.,Takács,Zoltán,Raktárvezető,902000.0,Üzemeltetés,Male,11,1984-01-01
27,Apex Software Nyrt.,Kovács,Anna,Logisztikai Koordinátor,872000.0,Üzemeltetés,Female,23,1980-03-22
28,TechCorp Hungary Kft.,Szabó,László,HR Generalista,892000.0,HR,Male,5,1977-06-30
29,Apex Software Nyrt.,Nagy,Balázs,HR Generalista,503000.0,HR,Male,20,1989-04-01
30,TechCorp Hungary Kft.,Németh,László,Pénzügyi Elemző,674000.0,Pénzügy,Male,27,1982-12-28
31,TechCorp Hungary Kft.,Varga,Dániel,SEO Specialista,927000.0,Marketing,Male,9,1983-12-23
32,Pannon Keréskedelem Kft.,Kovács,Péter,Logisztikai Koordinátor,1057000.0,Üzemeltetés,Male,23,1989-04-28
33,TechCorp Hungary Kft.,Farkas,László,Ügyfélszolgálati Munkatárs,1007000.0,Ügyfélszolgálat,Male,5,1967-07-21
34,Pannon Keréskedelem Kft.,Takács,Zoltán,Pénzügyi Elemző,697000.0,Pénzügy,Male,12,1970-05-19
35,Pannon Keréskedelem Kft.,Nagy,Petra,HR Manager,890000.0,HR,Female,21,1991-03-08
36,Pannon Keréskedelem Kft.,Tóth,István,Team Leader,729000.0,Ügyfélszolgálat,Male,12,1970-11-15
37,Innovatív Megoldások Kft.,Kovács,Anna,Raktárvezető,931000.0,Üzemeltetés,Female,19,1990-04-04
38,TechCorp Hungary Kft.,Oláh,Eszter,Pénzügyi Elemző,816000.0,Pénzügy,Female,28,1968-02-02
39,Global Logisztika Zrt.,Juhász,Balázs,Team Leader,767000.0,Ügyfélszolgálat,Male,19,2001-03-16
40,Pannon Keréskedelem Kft.,Oláh,Réka,IT Támogató Spec.,1146000.0,IT,Female,3,1971-01-10
41,Innovatív Megoldások Kft.,Varga,Eszter,Könyvelő,745000.0,Pénzügy,Female,19,1974-06-13
42,Innovatív Megoldások Kft.,Farkas,Réka,HR Manager,962000.0,HR,Female,8,2002-12-15
43,TechCorp Hungary Kft.,Kovács,Katalin,Kontroller,800000.0,Pénzügy,Female,24,1970-11-14
44,Innovatív Megoldások Kft.,Farkas,Dániel,Tartalomgyártó,460000.0,Marketing,Male,3,1968-05-17
45,Global Logisztika Zrt.,Molnár,Eszter,DevOps Mérnök,584000.0,IT,Female,1,1978-10-30
46,Innovatív Megoldások Kft.,Takács,Péter,DevOps Mérnök,558000.0,IT,Male,11,1999-12-30
47,Pannon Keréskedelem Kft.,Mészáros,Viktória,Frontend Fejlesztő,620000.0,Fejlesztés,Female,25,2001-05-15
48,Global Logisztika Zrt.,Lakatos,István,Szoftverfejlesztő,882000.0,Fejlesztés,Male,25,1995-01-19
49,Global Logisztika Zrt.,Molnár,Anna,Sales Representative,491000.0,Értékesítés,Female,27,1986-02-11
50,Global Logisztika Zrt.,Tóth,Péter,Toborzó,475000.0,HR,Male,21,1973-08-31
